,subj,TaskType,SentStruct,Lang_ACC,whichfirst,SStype,QLang1_firstsubj,QLang2_firstsubj,QLang
3084,116,Dual,SRC2,0,MusicFirst,high,yes,no,QLang1
3085,116,Dual,SRC2,1,LangFirst,high,yes,no,QLang2
3086,116,Dual,SRC2,0,MusicFirst,high,yes,no,QLang2
3087,116,Dual,SRC2,0,MusicFirst,high,yes,no,QLang1
3088,116,Dual,SRC2,1,LangFirst,high,yes,no,QLang2
3089,116,Dual,SRC2,0,MusicFirst,high,no,yes,QLang2
3090,116,Dual,SRC2,0,MusicFirst,high,no,yes,QLang1
3091,116,Dual,SRC2,1,LangFirst,high,no,yes,QLang2
3092,116,Dual,SRC2,0,MusicFirst,high,no,yes,QLang1
3093,116,Dual,SRC2,1,LangFirst,high,no,yes,QLang2
3094,116,Dual,SRC2,0,MusicFirst,high,no,yes,QLang2
3095,116,Dual,SRC2,1,MusicFirst,high,yes,no,QLang1
3096,116,Dual,SRC2,1,LangFirst,high,yes,no,QLang1
3097,116,Lang,ORC,1,LangFirst,high,no,yes,QLang2
3098,116,Lang,ORC,1,LangFirst,high,no,yes,QLang2
3099,116,Lang,ORC,1,LangFirst,high,yes,no,QLang1
3100,116,Lang,ORC,1,LangFirst,high,no,no,QLang2
3101,116,Lang,ORC,1,LangFirst,high,yes,no,QLang2
3102,116,Lang,ORC,1,LangFirst,high,no,yes,QLang1
3103,116,Lang,ORC,1,LangFirst,high,no,yes,QLang2
3104,116,Lang,ORC,1,LangFirst,high,no,yes,QLang2
3105,116,Lang,ORC,1,LangFirst,high,yes,no,QLang2
3106,116,Lang,ORC,1,LangFirst,high,no,yes,QLang1
3107,116,Lang,ORC,1,LangFirst,high,no,yes,QLang1
3108,116,Lang,ORC,1,LangFirst,high,yes,no,QLang2
3109,116,Lang,ORC,1,LangFirst,high,yes,no,QLang2
3110,116,Lang,ORC,1,LangFirst,high,yes,no,QLang2
3111,116,Lang,ORC,1,LangFirst,high,no,yes,QLang1
3112,116,Lang,ORC,0,LangFirst,high,yes,no,QLang1
